IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
218.157.246.88,12590,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,417,2.50
121.170.103.123,11596,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,769,2.42
14.54.27.148,12508,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,278,2.32
220.87.237.210,12501,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,516,2.30
220.88.191.218,30031,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,2.26
121.168.236.190,30045,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,451,2.20
119.207.8.45,12402,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,632,2.15
119.207.86.66,12209,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,597,2.06
118.42.9.31,12136,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,572,2.00
221.145.90.29,10000,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,472,1.98
218.149.151.5,12230,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,442,1.96
183.98.120.11,12266,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,483,1.96
121.168.235.70,33338,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,505,1.89
121.149.20.40,17184,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,546,1.89
210.91.8.234,30042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,323,1.85
115.22.199.235,10283,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,443,1.75
175.125.207.253,36167,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,424,1.73
59.22.136.160,10042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,505,1.69
124.80.55.214,30050,TRUE,ICN,KR,Asia Pacific,Seoul,17849,SK Broadband Co Ltd,753,1.66
175.125.207.253,20121,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,312,1.61
121.170.103.123,18110,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,504,1.57
220.90.50.110,12141,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,419,1.53
175.125.207.253,21318,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,558,1.52
121.168.236.190,30042,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,364,1.50
175.125.207.253,12180,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,523,1.50
